time,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009
3652.5-3683.5,2.4100279673887486,2.3233238997449686,4.600230462189604,-2.3099743996370403,-0.29994908456319946,-0.5431594077920489,-3.487982094503851,2.5130697246023685,-0.32112349900363896,-0.9571328827770177
3652.5-3712.5,-4.8454887233002655,-1.4478407095939405,-3.643130057085218,0.16688523384427856,-1.4072726871507673,3.634313935491075,-1.8481959299042872,-1.5717786809757777,-2.750309825967557,1.3633076133185629
3652.5-3743.5,0.6401103046251815,3.2592063652807535,-2.6760348905805054,1.9590583369628973,1.7487946097629323,4.534007415164204,0.5064061216645461,0.009444779424177763,-1.5559637342169008,-0.39722524756091104
3652.5-3773.5,2.388970675365642,1.9604855214147197,-6.41094606016709,-2.9565459315395177,3.207609978340497,1.3501939259663187,1.5465874920313225,3.924980830682219,1.8424645130551682,0.9275674728027672
3652.5-3804.5,3.5131964919288317,3.5285261715992706,-9.142413565113138,2.6185274267234977,0.3568942234964041,7.685766295178941,-2.1051676750285484,0.8561777503602801,-4.594586541004097,-3.3247394246166575
3652.5-3834.5,7.914920695914824,-0.7808315948581711,-9.810932959890039,-0.5758146371184445,6.111086966855335,4.602835023673796,6.580831863649138,-1.5609599524159417,-3.603804018697775,-0.8842549153421378
3652.5-3865.5,0.45640221739540854,-1.001976378272411,-8.592192454994363,-3.4383710112626114,1.346976343482154,4.327312039369117,1.0888495184726654,-2.0574468000303168,-4.530753074252237,-4.815115799861368
3652.5-3896.5,0.046954918545587754,-2.7352868374700563,-7.464778061654867,-2.8549359252557074,5.1604026744919835,7.176255832809832,-1.9481125868264122,-5.479174928092979,-3.0943407900432485,-5.7601246673599675
3652.5-3926.5,-7.273875610987589,-2.152425195503932,-7.435155008041669,-8.087643794593443,-3.7483883586924294,0.8202522333300897,-5.880722161100699,-5.6935520709989,-5.3668751406391175,-3.2929693264515696
3652.5-3957.5,-3.5639321640087203,-2.767390337543324,-11.802368294798294,-7.834451795892926,3.335950266554905,0.355593713365316,-10.132502494880079,-10.053675481562278,-4.631824575561896,-1.8401669342770193
3652.5-3987.5,-4.293877948930702,-8.52858286778844,-9.598263710285465,-8.750587132662602,4.008185431294157,-5.426859418506489,-17.117707510938356,-8.170711173401823,-6.526619034478117,-6.992446704537233
3652.5-4018.5,-9.766277431932181,-8.427548337982813,-11.47603568911169,-16.41666217082632,-4.793156036851924,-4.475741004275705,-15.620606568748023,-17.18349991716395,-9.306419328035176,-8.38849872574598
3652.5-4049.5,-8.945591850368661,-8.311039675361377,-14.214437171156911,-11.114356556920153,-2.1845526646795936,-5.688374364512022,-22.958795911409318,-16.566296998947802,-8.232220252988032,-6.234993285580572
3652.5-4077.5,-0.7130045808077341,-8.248459322292332,-14.04898863367643,-12.787979267152853,2.210612156477932,-8.317925915162697,-27.415996456189294,-19.61707775373145,-8.973814732243907,-8.547032892061655
3652.5-4108.5,-5.256432669688823,-8.885754596813838,-8.501150966860859,-10.262244514035562,6.627223774535531,-6.101026231185388,-20.66561807398586,-17.240251821940372,-3.7092736976653358,-1.3154379651499486
3652.5-4138.5,-3.186693922958976,-4.596247291292098,-9.49719169015114,-10.51943148797404,1.3530695510454895,-5.1256355040508135,-23.912853340987205,-22.213868462190614,-6.956206779804793,-6.196074913137889
3652.5-4169.5,-4.721242867280593,-4.7902226434661594,-5.2291522695570185,-12.030247927762183,-5.529682950595925,-7.601710795241223,-24.204755783434102,-18.568555995170946,-4.54655400181141,-3.715722190823572
3652.5-4199.5,-8.401101053442865,-7.221870866617939,-10.294960365858419,-14.548758063405424,0.5935273905115794,-5.473123706337347,-19.380831419387004,-18.35421304053925,-6.430469890445613,-6.823738482099069
3652.5-4230.5,0.06215712782085259,-10.849434312782885,-10.204527442494209,-11.358664371894479,4.200659518216183,-12.706586860107638,-23.95764279568618,-15.919630532912286,-1.5360494052418625,-9.803752008980949
3652.5-4261.5,-7.310705608839216,-6.458759170867149,-13.50341728646965,-11.61741446205803,1.9406477167903713,-10.280762278984925,-31.897550154185225,-19.963214495085783,-11.85720673208014,-9.350908560551478
3652.5-4291.5,-17.6286222062706,-3.0514872618369173,-18.10215715594644,-19.337829597901337,1.6723324672041113,-14.147772976337949,-24.086029873958566,-22.544364813480488,-2.4854826244396726,-5.826790287994344
3652.5-4322.5,-11.113646872783244,-10.948463376642174,-18.617945652538303,-15.210646662423882,-1.2950065363458356,-12.265802972867167,-37.20339280717959,-24.87670247805265,-9.650122403255434,-6.779589777275168
3652.5-4352.5,-13.85423756848262,-12.027180281371596,-19.29436133173112,-18.22030354438244,-3.346957031537161,-14.425529677423112,-30.0875318941373,-29.50451835429235,-7.553350733472992,-12.972398309795125
3652.5-4383.5,-15.889027790077636,-13.62035856187388,-21.13700896404231,-21.041386874609454,0.12782706001838418,-20.375214673589834,-37.013194343709756,-29.959019431338344,-14.690916107302023,-4.2650525492201155
